Date,Open,High,Low,Close,MA5,MA20,diff
2022-04-01,46.61,46.79,46.4,46.73,43.9,47.82,-0.42
2022-04-08,45.63,45.72,45.58,45.72,44.56,47.42,-0.4
2022-04-15,42.8,43.3,42.8,43.3,45.02,46.88,-0.54
2022-04-22,39.98,39.99,39.65,39.94,44.47,46.22,-0.66
2022-04-29,39.18,40.2,39.07,40.0,43.14,45.66,-0.56
2022-05-06,38.88,39.17,38.63,39.02,41.6,45.05,-0.61
2022-05-13,35.45,35.71,35.45,35.69,39.59,44.34,-0.71
2022-05-20,36.06,36.12,35.91,36.03,38.14,43.6,-0.74
2022-05-27,36.37,36.37,36.04,36.15,37.38,42.88,-0.72
2022-06-03,37.21,37.43,37.11,37.36,36.85,42.27,-0.61
2022-06-10,37.95,38.38,37.89,38.33,36.71,41.73,-0.54
2022-06-17,34.76,35.17,34.74,35.17,36.61,41.15,-0.58
2022-06-24,36.48,37.0,36.36,36.92,36.79,40.8,-0.35
2022-07-01,36.01,36.01,35.48,35.5,36.66,40.3,-0.5
2022-07-08,38.0,38.19,37.98,38.0,36.78,39.95,-0.35
2022-07-15,36.61,36.67,36.41,36.67,36.45,39.67,-0.28
2022-07-22,39.19,39.3,39.0,39.1,37.24,39.5,-0.17
2022-07-29,39.93,40.2,39.93,40.0,37.85,39.45,-0.05
2022-08-05,41.22,41.51,41.22,41.4,39.03,39.38,-0.07
2022-08-12,41.39,41.39,41.2,41.32,39.7,39.12,-0.26
2022-08-19,41.35,41.54,41.35,41.42,40.65,38.85,-0.27
2022-08-26,41.24,41.6,41.24,41.37,41.1,38.63,-0.22
2022-09-02,39.19,39.29,39.14,39.27,40.96,38.43,-0.2
2022-09-09,39.12,39.22,39.07,39.15,40.51,38.39,-0.04
2022-09-16,38.3,38.37,38.28,38.34,39.91,38.31,-0.08
2022-09-23,37.95,37.95,37.7,37.8,39.19,38.25,-0.06
2022-09-30,36.78,36.84,36.6,36.72,38.26,38.3,0.05
2022-10-07,37.5,37.5,37.27,37.3,37.86,38.36,0.06
2022-10-14,35.1,35.65,35.1,35.57,37.15,38.34,-0.02
2022-10-21,35.35,35.51,35.35,35.37,36.55,38.24,-0.1
2022-10-28,34.72,34.72,34.28,34.3,35.85,38.03,-0.21
2022-11-04,32.59,33.44,32.5,33.44,35.2,37.95,-0.08
2022-11-11,34.36,34.56,33.89,34.15,34.57,37.81,-0.14
2022-11-18,35.31,35.62,35.31,35.43,34.54,37.81,0.0
2022-11-25,35.34,35.42,35.07,35.11,34.49,37.66,-0.15
2022-12-02,36.04,36.41,35.96,36.38,34.9,37.65,-0.01
2022-12-09,36.11,36.14,35.95,36.13,35.44,37.5,-0.15
2022-12-16,35.01,35.32,34.98,35.08,35.63,37.25,-0.25
2022-12-23,33.59,33.65,33.31,33.55,35.25,36.86,-0.39
2022-12-30,32.9,32.98,32.86,32.95,34.82,36.44,-0.42
2023-01-06,32.58,32.59,32.45,32.46,34.03,35.99,-0.45
2023-01-13,34.9,34.9,34.6,34.71,33.75,35.66,-0.33
2023-01-20,35.12,35.12,34.98,34.98,33.73,35.45,-0.21
2023-02-03,41.18,41.5,41.06,41.1,35.24,35.54,0.09
2023-02-10,41.55,41.55,41.22,41.25,36.9,35.69,0.15
2023-02-17,41.69,41.69,41.21,41.22,38.65,35.86,0.17
2023-02-24,40.69,40.7,40.54,40.63,39.84,36.06,0.2
2023-03-03,40.2,40.2,39.91,39.97,40.83,36.19,0.13
2023-03-10,40.03,40.11,39.93,39.99,40.61,36.41,0.22
2023-03-17,42.74,42.95,42.74,42.88,40.94,36.79,0.38
2023-03-24,43.61,43.76,43.61,43.76,41.45,37.26,0.47
2023-03-31,44.35,44.5,44.32,44.43,42.21,37.81,0.55
2023-04-07,44.5,44.6,44.38,44.52,43.12,38.33,0.52
2023-04-14,44.5,44.57,44.47,44.48,44.01,38.78,0.45
2023-04-21,44.12,44.12,43.93,43.95,44.23,39.22,0.44
2023-04-28,44.85,45.0,44.84,44.87,44.45,39.65,0.43
2023-05-05,44.88,45.1,44.88,45.08,44.58,40.09,0.44
2023-05-12,47.84,47.97,47.84,47.91,45.26,40.73,0.64
2023-05-19,50.65,51.1,50.65,50.8,46.52,41.6,0.87
2023-05-26,51.9,51.9,51.2,51.25,47.98,42.51,0.91
2023-06-02,54.15,54.6,54.15,54.55,49.92,43.62,1.11
2023-06-09,54.95,55.3,54.9,55.15,51.93,44.64,1.02
2023-06-16,58.25,58.5,58.2,58.35,54.02,45.81,1.17
2023-06-23,58.15,58.9,58.15,58.75,55.61,46.69,0.88
2023-06-30,57.35,57.55,57.35,57.5,56.86,47.5,0.81
2023-07-07,58.7,58.75,58.5,58.7,57.69,48.38,0.88
2023-07-14,60.6,60.6,60.25,60.35,58.73,49.36,0.98
2023-07-21,58.25,59.2,58.25,59.15,58.89,50.32,0.96
2023-07-28,59.5,59.75,59.3,59.6,59.06,51.3,0.98
2023-08-04,60.25,60.6,60.1,60.55,59.67,52.18,0.88
2023-08-11,59.0,59.0,58.55,58.65,59.66,52.93,0.75
2023-08-18,56.9,56.9,56.4,56.4,58.87,53.53,0.6
2023-08-25,57.8,58.3,57.2,57.3,58.5,54.17,0.64
2023-09-01,60.3,60.45,60.3,60.35,58.65,54.96,0.79
2023-09-08,59.5,59.95,59.5,59.95,58.53,55.76,0.8
2023-09-15,60.8,60.8,60.55,60.8,58.96,56.56,0.8
2023-09-22,57.35,57.4,57.0,57.25,59.13,57.17,0.61
2023-09-29,57.0,57.2,56.8,57.0,59.07,57.62,0.45
2023-10-06,58.15,58.25,58.0,58.0,58.6,57.98,0.36
2023-10-13,60.1,60.1,59.95,59.95,58.6,58.42,0.44
2023-10-20,58.2,58.25,57.95,58.2,58.08,58.6,0.18
2023-10-27,56.0,56.25,55.9,56.25,57.88,58.65,0.05
