Date,Open,High,Low,Close,MA5,MA20,diff,max_20_WK,min_20_WK
2020-10-09,38.44,39.21,38.4,39.18,37.828,34.5,0.555,40.55,27.67
2020-10-16,39.3,40.88,39.28,40.29,38.434,35.131,0.631,40.55,28.55
2020-10-23,40.33,40.46,39.58,40.01,38.962,35.704,0.573,40.55,29.33
2020-10-30,40.2,40.2,38.85,38.87,39.316,36.181,0.477,40.55,30.01
2020-11-06,38.19,40.75,37.99,40.31,39.732,36.696,0.515,40.55,30.56
2020-11-13,41.0,41.99,38.77,39.39,39.774,37.137,0.441,40.55,30.99
2020-11-20,39.87,40.22,39.22,39.73,39.662,37.574,0.437,40.55,33.28
2020-11-27,39.65,40.64,39.59,40.59,39.778,37.914,0.34,40.59,33.28
2020-12-04,41.29,41.55,40.94,41.38,40.28,38.3,0.386,41.38,33.28
2020-12-11,41.38,42.38,40.82,41.45,40.508,38.708,0.408,41.45,34.26
2020-12-18,41.47,43.8,41.47,43.64,41.358,39.178,0.47,43.64,35.45
2020-12-25,44.1,44.14,43.1,43.11,42.034,39.561,0.383,43.64,35.57
2021-01-01,43.1,44.42,43.01,44.38,42.792,40.001,0.44,44.38,37.1
2021-01-08,44.38,44.49,43.33,44.44,43.404,40.338,0.337,44.44,37.1
2021-01-15,45.34,45.41,44.07,44.16,43.946,40.518,0.18,44.44,37.1
2021-01-22,44.0,47.26,43.8,46.86,44.59,40.888,0.37,46.86,37.1
2021-01-29,47.0,48.04,45.44,45.62,45.092,41.306,0.418,46.86,37.1
2021-02-05,44.96,48.28,44.91,48.27,45.87,41.85,0.544,48.27,37.1
2021-02-19,51.15,51.35,49.66,49.92,46.966,42.492,0.642,49.92,38.23
2021-02-26,50.75,51.05,47.19,47.2,47.574,42.94,0.448,49.92,38.87
2021-03-05,48.8,49.05,44.32,44.87,47.176,43.224,0.284,49.92,38.87
2021-03-12,45.36,47.12,43.22,46.65,47.382,43.543,0.319,49.92,38.87
2021-03-19,46.25,47.52,45.68,45.79,46.886,43.832,0.289,49.92,38.87
2021-03-26,46.09,46.83,44.74,45.01,45.904,44.138,0.306,49.92,39.39
2021-04-02,44.67,45.92,44.43,45.91,45.646,44.418,0.28,49.92,39.39
2021-04-09,47.4,48.5,47.28,48.29,46.33,44.864,0.446,49.92,39.73
2021-04-16,48.35,49.78,48.3,49.46,46.892,45.35,0.486,49.92,40.59
2021-04-23,49.46,49.49,47.2,47.38,47.21,45.689,0.339,49.92,41.38
2021-04-30,47.84,48.39,47.81,48.34,47.876,46.038,0.349,49.92,41.45
2021-05-07,47.85,47.85,45.34,45.86,47.866,46.258,0.22,49.92,43.11
2021-05-14,45.85,45.86,42.85,43.24,46.856,46.238,-0.02,49.92,43.11
2021-05-21,43.85,45.0,43.32,44.82,45.928,46.323,0.085,49.92,43.24
2021-05-28,44.4,45.76,44.29,45.7,45.592,46.39,0.067,49.92,43.24
2021-06-04,45.7,45.7,44.89,45.05,44.934,46.42,0.03,49.92,43.24
2021-06-11,45.53,46.25,45.53,46.24,45.01,46.524,0.104,49.92,43.24
2021-06-18,46.8,47.14,45.88,47.12,45.786,46.537,0.013,49.92,43.24
2021-06-25,47.0,49.44,46.86,49.31,46.684,46.722,0.185,49.92,43.24
2021-07-02,49.45,50.95,49.41,50.15,47.574,46.816,0.094,50.15,43.24
2021-07-09,50.6,50.85,49.78,49.94,48.552,46.816,0.0,50.15,43.24
2021-07-16,50.25,50.8,50.0,50.35,49.374,46.974,0.158,50.35,43.24
2021-07-23,49.71,50.4,49.18,50.2,49.99,47.241,0.267,50.35,43.24
2021-07-30,50.5,50.5,49.19,49.21,49.97,47.368,0.127,50.35,43.24
2021-08-06,49.6,49.93,49.31,49.92,49.924,47.575,0.207,50.35,43.24
2021-08-13,49.21,49.61,48.9,49.06,49.748,47.777,0.202,50.35,43.24
2021-08-20,48.93,48.99,47.29,47.3,49.138,47.847,0.07,50.35,43.24
2021-08-27,47.6,49.61,47.6,49.41,48.98,47.903,0.056,50.35,43.24
2021-09-03,49.73,50.9,49.7,50.6,49.258,47.96,0.057,50.6,43.24
2021-09-10,50.7,51.5,50.65,50.85,49.444,48.134,0.174,50.85,43.24
2021-09-17,50.75,50.75,49.66,50.1,49.652,48.222,0.088,50.85,43.24
2021-09-24,48.91,49.81,48.28,49.57,50.106,48.407,0.185,50.85,43.24
2021-10-01,49.7,49.72,48.06,48.09,49.842,48.65,0.243,50.85,44.82
2021-10-08,48.35,49.55,46.9,49.31,49.584,48.874,0.224,50.85,45.05
2021-10-15,49.32,50.65,49.15,50.65,49.544,49.122,0.248,50.85,45.05
2021-10-22,50.6,52.2,50.55,52.15,49.954,49.476,0.354,52.15,46.24
2021-10-29,52.0,53.5,51.95,52.7,50.58,49.8,0.324,52.7,47.12
2021-11-05,53.2,55.2,53.15,55.15,51.992,50.201,0.401,55.15,47.3
2021-11-12,54.75,54.75,53.25,53.8,52.89,50.426,0.225,55.15,47.3
2021-11-19,54.35,54.45,53.9,54.1,53.58,50.623,0.197,55.15,47.3
2021-11-26,54.4,54.45,53.0,53.1,53.77,50.781,0.158,55.15,47.3
2021-12-03,52.8,53.5,50.85,51.1,53.45,50.818,0.037,55.15,47.3
2021-12-10,49.99,52.35,49.45,51.35,52.69,50.876,0.058,55.15,47.3
2021-12-17,51.6,51.7,49.55,49.84,51.898,50.908,0.032,55.15,47.3
2021-12-24,49.5,51.1,48.8,50.85,51.248,50.954,0.046,55.15,47.3
2021-12-31,51.0,51.45,50.4,50.6,50.748,51.031,0.077,55.15,47.3
2022-01-07,50.85,51.65,49.14,49.53,50.434,51.142,0.111,55.15,48.09
2022-01-14,49.35,50.6,48.82,49.01,49.966,51.122,-0.02,55.15,48.09
